SizeRank,County,Year,Value,Impact
2071,West Feliciana Parish,2013,373156.5854642702,Unaffected
158,East Baton Rouge Parish,2013,323749.0004078006,Unaffected
160,Jefferson Parish,2013,310736.069939946,Affected
178,Orleans Parish,2013,413789.6358297883,Affected
274,Caddo Parish,2013,245808.0683688406,Unaffected
462,Livingston Parish,2013,256905.6661186399,Unaffected
1041,Washington Parish,2013,196970.4170039964,Affected
1360,Iberville Parish,2013,244176.03602381557,Unaffected
1560,West Baton Rouge Parish,2013,260029.74709495745,Unaffected
1661,Plaquemines Parish,2013,412172.0462488785,Affected
1725,Pointe Coupee Parish,2013,311870.3824139219,Unaffected
2071,West Feliciana Parish,2013,373622.0868615238,Unaffected
158,East Baton Rouge Parish,2013,325013.29775881383,Unaffected
160,Jefferson Parish,2013,311319.3354138317,Affected
178,Orleans Parish,2013,417184.79637873085,Affected
274,Caddo Parish,2013,245618.0904716321,Unaffected
462,Livingston Parish,2013,257538.9257760016,Unaffected
1041,Washington Parish,2013,197838.0938327674,Affected
1360,Iberville Parish,2013,244639.31545735904,Unaffected
1560,West Baton Rouge Parish,2013,260335.26710508807,Unaffected
1661,Plaquemines Parish,2013,412895.2954364969,Affected
1725,Pointe Coupee Parish,2013,312197.0110792979,Unaffected
2071,West Feliciana Parish,2013,372353.3455830904,Unaffected
158,East Baton Rouge Parish,2013,325457.69050082203,Unaffected
160,Jefferson Parish,2013,311620.4114965422,Affected
178,Orleans Parish,2013,420816.5960627927,Affected
274,Caddo Parish,2013,245172.5867477689,Unaffected
462,Livingston Parish,2013,256622.36574560968,Unaffected
1041,Washington Parish,2013,198106.95144168235,Affected
1360,Iberville Parish,2013,244694.8645501101,Unaffected
1560,West Baton Rouge Parish,2013,260539.68776641184,Unaffected
1661,Plaquemines Parish,2013,412910.8491824671,Affected
1725,Pointe Coupee Parish,2013,311263.7863210807,Unaffected
2071,West Feliciana Parish,2013,372342.2357645402,Unaffected
158,East Baton Rouge Parish,2013,326907.52182162367,Unaffected
160,Jefferson Parish,2013,311523.75607515546,Affected
178,Orleans Parish,2013,424117.3231540584,Affected
274,Caddo Parish,2013,244687.08767712492,Unaffected
462,Livingston Parish,2013,255225.86155384895,Unaffected
1041,Washington Parish,2013,197530.35185892676,Affected
1360,Iberville Parish,2013,244799.296844482,Unaffected
1560,West Baton Rouge Parish,2013,260094.18404254864,Unaffected
1661,Plaquemines Parish,2013,412968.6202389282,Affected
1725,Pointe Coupee Parish,2013,310584.9764076632,Unaffected
2071,West Feliciana Parish,2013,372945.4989118163,Unaffected
158,East Baton Rouge Parish,2013,328172.93015449203,Unaffected
160,Jefferson Parish,2013,309991.7120970823,Affected
178,Orleans Parish,2013,428594.5800297909,Affected
274,Caddo Parish,2013,243128.38013453127,Unaffected
462,Livingston Parish,2013,254387.0702533085,Unaffected
1041,Washington Parish,2013,196587.1282640144,Affected
1360,Iberville Parish,2013,245127.03649171305,Unaffected
1560,West Baton Rouge Parish,2013,259965.31014736625,Unaffected
1661,Plaquemines Parish,2013,412783.0862691398,Affected
1725,Pointe Coupee Parish,2013,310221.6853410715,Unaffected
2071,West Feliciana Parish,2013,374286.454010826,Unaffected
158,East Baton Rouge Parish,2014,325089.1194030481,Unaffected
160,Jefferson Parish,2014,302705.9735612665,Affected
178,Orleans Parish,2014,425362.857790957,Affected
274,Caddo Parish,2014,238115.8280362936,Unaffected
462,Livingston Parish,2014,249221.034418086,Unaffected
1041,Washington Parish,2014,192813.84516085428,Affected
1360,Iberville Parish,2014,241901.74354132876,Unaffected
1560,West Baton Rouge Parish,2014,256305.27711881587,Unaffected
1661,Plaquemines Parish,2014,406290.06486550416,Affected
1725,Pointe Coupee Parish,2014,305713.4969670857,Unaffected
2071,West Feliciana Parish,2014,369881.64902253984,Unaffected
158,East Baton Rouge Parish,2014,326503.7814485334,Unaffected
160,Jefferson Parish,2014,301502.3082505407,Affected
178,Orleans Parish,2014,426399.2562601379,Affected
274,Caddo Parish,2014,237438.01469147063,Unaffected
