,SizeRank,County,Year,Value
480,1560,West Baton Rouge Parish,2003,184486.5052623228
481,1661,Plaquemines Parish,2003,164454.69835869563
482,1725,Pointe Coupee Parish,2003,158887.44869565216
483,2071,West Feliciana Parish,2003,216279.3045571365
484,158,East Baton Rouge Parish,2003,112978.03440760868
485,160,Jefferson Parish,2003,158589.25341304348
486,178,Orleans Parish,2003,145796.39447282607
487,274,Caddo Parish,2003,139475.2232161187
488,462,Livingston Parish,2003,154358.25619565215
489,1041,Washington Parish,2003,156496.26010869566
490,1360,Iberville Parish,2003,170579.17068395994
491,1560,West Baton Rouge Parish,2003,184486.5052623228
492,1661,Plaquemines Parish,2003,165775.4784076087
493,1725,Pointe Coupee Parish,2003,158887.44869565216
494,2071,West Feliciana Parish,2003,216279.3045571365
495,158,East Baton Rouge Parish,2003,113432.36023913044
496,160,Jefferson Parish,2003,159903.00055434782
497,178,Orleans Parish,2003,147041.21911956518
498,274,Caddo Parish,2003,139475.2232161187
499,462,Livingston Parish,2003,154358.25619565215
500,1041,Washington Parish,2003,156496.26010869566
501,1360,Iberville Parish,2003,170579.17068395994
502,1560,West Baton Rouge Parish,2003,184486.5052623228
503,1661,Plaquemines Parish,2003,166314.19913043478
504,1725,Pointe Coupee Parish,2003,158887.44869565216
505,2071,West Feliciana Parish,2003,216279.3045571365
506,158,East Baton Rouge Parish,2003,113613.80925543475
507,160,Jefferson Parish,2003,160901.6734347826
508,178,Orleans Parish,2003,148361.99916847824
509,274,Caddo Parish,2003,139475.2232161187
510,462,Livingston Parish,2003,154358.25619565215
511,1041,Washington Parish,2003,156496.26010869566
512,1360,Iberville Parish,2003,170579.17068395994
513,1560,West Baton Rouge Parish,2003,184486.5052623228
514,1661,Plaquemines Parish,2003,167099.0716195652
515,1725,Pointe Coupee Parish,2003,158887.44869565216
516,2071,West Feliciana Parish,2003,216279.3045571365
517,158,East Baton Rouge Parish,2003,113743.21475543476
518,160,Jefferson Parish,2003,161763.90790760866
519,178,Orleans Parish,2003,149765.7675271739
520,274,Caddo Parish,2003,139475.2232161187
521,462,Livingston Parish,2003,154358.25619565215
522,1041,Washington Parish,2003,156496.26010869566
523,1360,Iberville Parish,2003,170579.17068395994
524,1560,West Baton Rouge Parish,2003,184486.5052623228
525,1661,Plaquemines Parish,2003,167280.52063586956
526,1725,Pointe Coupee Parish,2003,158887.44869565216
527,2071,West Feliciana Parish,2003,216279.3045571365
528,158,East Baton Rouge Parish,2004,110980.45856008468
529,160,Jefferson Parish,2004,156573.11947591318
530,178,Orleans Parish,2004,146986.5627421916
531,274,Caddo Parish,2004,144524.64773444025
532,462,Livingston Parish,2004,155711.32953943886
533,1041,Washington Parish,2004,160301.1487559555
534,1360,Iberville Parish,2004,174208.85236093018
535,1560,West Baton Rouge Parish,2004,192557.12811502712
536,1661,Plaquemines Parish,2004,164167.55766013762
537,1725,Pointe Coupee Parish,2004,158232.3048703017
538,2071,West Feliciana Parish,2004,220665.1472662377
539,158,East Baton Rouge Parish,2004,111235.296283748
540,160,Jefferson Parish,2004,154845.42931709898
541,178,Orleans Parish,2004,148125.11192694548
542,274,Caddo Parish,2004,144524.64773444025
543,462,Livingston Parish,2004,155711.32953943886
544,1041,Washington Parish,2004,160301.1487559555
545,1360,Iberville Parish,2004,174208.85236093018
546,1560,West Baton Rouge Parish,2004,192557.12811502712
547,1661,Plaquemines Parish,2004,165319.80779777656
548,1725,Pointe Coupee Parish,2004,158232.3048703017
549,2071,West Feliciana Parish,2004,220665.1472662377
550,158,East Baton Rouge Parish,2004,111480.54334039173
551,160,Jefferson Parish,2004,153278.04030704076
552,178,Orleans Parish,2004,149010.1934833245
553,274,Caddo Parish,2004,144524.64773444025
554,462,Livingston Parish,2004,155711.32953943886
555,1041,Washington Parish,2004,160301.1487559555
556,1360,Iberville Parish,2004,174208.85236093018
